name,long,lat,confirmed,deaths,recovered,active
Islamabad,73.0479,33.6844,0,0,0,0
Gilgit Baltistan,74.9832,35.8026,4,0,0,4
Sindh,68.5247,25.8943,14,0,1,13
Balochistan,65.0958,28.4907,1,0,0,1
Punjab,72.7097,31.1704,0,0,0,0
Khyber Pakhtunkhwa,72.331,34.9526,0,0,0,0
Azad Jammu and Kashmir,73.781,33.9259,0,0,0,0
